Place of interest,Place address,BiciMAD station,Station location,Bikes_available
ABC Schule (Alemán),Calle Leizaran 27,Doctor Arce 45,Avenida del Doctor Arce nº 45,1
AFI Escuela de Finanzas,Calle Marques De Villamejor 5,Ortega y Gasset,Calle José Ortega y Gasset nº 4,0
Academia Darío Estudio,Calle Gran Via 63,Plaza de España B,Calle Princesa nº 5,0
Agencia Estatal Consejo Superior de Investigaciones Científicas (CSIC),Calle Serrano 117,Serrano 113,Calle Serrano nº 113B,8
"Altair, Colegio Internacional",Calle Joaquin Bau 4,López Pozas,Calle General López Pozas nº 2,5
Aula Municipal de Formación de Personas Adultas. Distrito Centro.,Calle Casino 5,Ribera de Curtidores,Calle Ribera de Curtidores nº 28,9
Aula Municipal de Formación de Personas Adultas. Distrito Chamberí,Calle Almagro 5 I.F.E. Del Gobierno Local De Madrid,Alonso Martínez,Plaza de Alonso Martínez nº 5,22
Aula Municipal de Formación de Personas Adultas. Distrito Ciudad Lineal.,Calle Santa Felicidad 39 En Centro Cultural Elipa,Marqués de Corbera 52,Avenida Marqués de Corbera nº 52,18
Aula Municipal de Formación de Personas Adultas. Distrito San Blas - Canillejas.,Calle San Roman Del Valle 8 En Centro Cultural Antonio Machado,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Aula Municipal de Formación de Personas Adultas. Distrito Villaverde. Calle Doctor Martín Arévalo.,Calle Doctor Martin Arevalo 2 Centro Cultural Ágata,Glorieta de Cádiz,Calle Antonio López nº 129,18
Aula Municipal de Formación de Personas Adultas. Distrito Villaverde. Plaza Los Pinazo.,Plaza Pinazo 9,Embajadores 191,Calle Sodio nº 1B,11
Aula de estudio de Manoteras. Sala de estudio (Hortaleza),Calle Cuevas Del Almanzora 187,Pío XII,Avenida Pío XII nº 3,17
CES Centro Especializado en Superdotados,Calle Velazquez 126 Planta 3 Dcha.,Velázquez 130,Calle Velázquez nº 130,4
"CES, Escuela Superior de Imagen y Sonido",Calle Mar Adriatico 11,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
CEU - Instituto Superior de Estudios Profesionales,Calle Pirineos 55,Pablo Iglesias,Calle Francisco Balseiro nº 1,1
"CEV - Centro de estudios del video, S.A.",Calle Gaztambide 65,Cea Bermúdez,Calle Cea Bermúdez nº 59,4
