Place of interest,Place address,BiciMAD station,Station location,Bikes_available
ABC Schule (Alemán),Calle Leizaran 27,Alonso Martínez,Plaza de Alonso Martínez nº 5,22
AFI Escuela de Finanzas,Calle Marques De Villamejor 5,Marqués de la Ensenada,Calle Marqués de la Ensenada nº 16,8
Academia Darío Estudio,Calle Gran Via 63,San Bernardo,Calle San Bernardo nº 22,17
Agencia Estatal Consejo Superior de Investigaciones Científicas (CSIC),Calle Serrano 117,Alonso Martínez,Plaza de Alonso Martínez nº 5,22
"Altair, Colegio Internacional",Calle Joaquin Bau 4,Alonso Martínez,Plaza de Alonso Martínez nº 5,22
Aula Municipal de Formación de Personas Adultas. Distrito Centro.,Calle Casino 5,Ribera de Curtidores,Calle Ribera de Curtidores nº 28,9
Aula Municipal de Formación de Personas Adultas. Distrito Chamberí,Calle Almagro 5 I.F.E. Del Gobierno Local De Madrid,Alonso Martínez,Plaza de Alonso Martínez nº 5,22
Aula Municipal de Formación de Personas Adultas. Distrito Ciudad Lineal.,Calle Santa Felicidad 39 En Centro Cultural Elipa,Marqués de la Ensenada,Calle Marqués de la Ensenada nº 16,8
Aula Municipal de Formación de Personas Adultas. Distrito San Blas - Canillejas.,Calle San Roman Del Valle 8 En Centro Cultural Antonio Machado,Marqués de la Ensenada,Calle Marqués de la Ensenada nº 16,8
Aula Municipal de Formación de Personas Adultas. Distrito Villaverde. Calle Doctor Martín Arévalo.,Calle Doctor Martin Arevalo 2 Centro Cultural Ágata,Embajadores 1,Glorieta de Embajadores nº 6,10
Aula Municipal de Formación de Personas Adultas. Distrito Villaverde. Plaza Los Pinazo.,Plaza Pinazo 9,Embajadores 1,Glorieta de Embajadores nº 6,10
Aula de estudio de Manoteras. Sala de estudio (Hortaleza),Calle Cuevas Del Almanzora 187,Alonso Martínez,Plaza de Alonso Martínez nº 5,22
Casa de Niños Daniel Vázquez Díaz,Calle Armenteros 46,Plaza Conde Suchil,Plaza del Conde del Valle de Súchil nº 3,9
Casa de Niños Giner de los Ríos,Calle Membezar 25,Casa Encendida,Ronda de Atocha nº 34,22
Casa de Niños Lope de Vega,Calle Inglaterra 8 Ubicada En C. P. Lope De Vega,Puerta de Toledo,Glorieta de la Puerta de Toledo nº 1,12
Casa de Niños Nuestra Señora de la Fuencisla,Calle Tomelloso 40 Ubicada En C.P. Ntra. Sra Fuencisla,Embajadores 1,Glorieta de Embajadores nº 6,10
Casa de Niños República de Brasil,Avenida Fueros 34 Ubicada En C. P. Republica Brasil,Embajadores 1,Glorieta de Embajadores nº 6,10
Casa de Niños San Miguel,Avenida Virgen Del Carmen 32,Marqués de la Ensenada,Calle Marqués de la Ensenada nº 16,8
Centro  de Educación Especial Colegio Gaudem,Calle Playa De Barlovento 14,Marqués de la Ensenada,Calle Marqués de la Ensenada nº 16,8
Centro Bobath de Formación Profesional,Calle Mirador De La Reina 115,Plaza Conde Suchil,Plaza del Conde del Valle de Súchil nº 3,9
Centro Bobath de educación de adultos,Calle Mirador De La Reina 115,Plaza Conde Suchil,Plaza del Conde del Valle de Súchil nº 3,9
Centro Cultural y Deportivo Tajamar,Calle Pio Felipe 12,Huertas,Calle Jesús nº 1,9
